Date,Hour,Price
21-Feb-17,1,6.85
21-Feb-17,2,6.872
21-Feb-17,3,6.872
21-Feb-17,4,6.879
21-Feb-17,5,6.958
21-Feb-17,6,6.984
21-Feb-17,7,6.987
21-Feb-17,8,6.982
21-Feb-17,9,7
21-Feb-17,10,6.969
21-Feb-17,11,6.968
22-Feb-17,1,6.966
22-Feb-17,2,6.974
22-Feb-17,3,6.912
22-Feb-17,4,6.919
22-Feb-17,5,7
22-Feb-17,6,7.042
22-Feb-17,7,7.061
22-Feb-17,8,6.848
22-Feb-17,9,7.021
22-Feb-17,10,6.981
22-Feb-17,11,6.971
23-Feb-17,1,6.962
23-Feb-17,2,6.978
23-Feb-17,3,6.995
23-Feb-17,4,6.943
23-Feb-17,5,6.95
23-Feb-17,6,6.949
23-Feb-17,7,7.028
23-Feb-17,8,7.07
23-Feb-17,9,7.119
23-Feb-17,10,7.123
23-Feb-17,11,7.155
24-Feb-17,1,7.242
24-Feb-17,2,7.233
24-Feb-17,3,7.241
24-Feb-17,4,7.17
24-Feb-17,5,7.193
24-Feb-17,6,7.365
24-Feb-17,7,7.365
24-Feb-17,8,7.317
24-Feb-17,9,7.317
24-Feb-17,10,7.395
24-Feb-17,11,7.394
25-Feb-17,1,7.394
25-Feb-17,2,7.394
25-Feb-17,3,7.268
25-Feb-17,4,7.177
25-Feb-17,5,7.204
25-Feb-17,6,7.346
25-Feb-17,7,7.298
25-Feb-17,8,7.281
25-Feb-17,9,7.181
25-Feb-17,10,7.169
25-Feb-17,11,7.187
26-Feb-17,1,7.167
26-Feb-17,2,7.159
26-Feb-17,3,7.154
26-Feb-17,4,7.149
26-Feb-17,5,7.137
26-Feb-17,6,7.139
26-Feb-17,7,7.147
26-Feb-17,8,7.119
26-Feb-17,9,7.122
26-Feb-17,10,7.114
26-Feb-17,11,7.152
27-Feb-17,1,7.135
27-Feb-17,2,7.142
27-Feb-17,3,7.142
27-Feb-17,4,7.142
27-Feb-17,5,7.204
27-Feb-17,6,7.252
27-Feb-17,7,7.252
27-Feb-17,8,7.252
27-Feb-17,9,7.412
27-Feb-17,10,7.446
27-Feb-17,11,7.461
28-Feb-17,1,7.437
28-Feb-17,2,7.5
28-Feb-17,3,7.471
28-Feb-17,4,7.441
28-Feb-17,5,7.447
28-Feb-17,6,7.474
28-Feb-17,7,7.469
28-Feb-17,8,7.564
28-Feb-17,9,7.595
28-Feb-17,10,7.664
28-Feb-17,11,7.701
1-Mar-17,1,7.697
1-Mar-17,2,7.702
1-Mar-17,3,7.728
1-Mar-17,4,7.694
1-Mar-17,5,7.688
1-Mar-17,6,7.641
1-Mar-17,7,7.612
1-Mar-17,8,7.689
1-Mar-17,9,7.669
1-Mar-17,10,7.69
1-Mar-17,11,7.761
2-Mar-17,1,7.906
2-Mar-17,2,8.053
2-Mar-17,3,8.259
2-Mar-17,4,8.301
2-Mar-17,5,8.518
2-Mar-17,6,8.505
2-Mar-17,7,8.493
2-Mar-17,8,8.509
2-Mar-17,9,8.586
2-Mar-17,10,8.873
2-Mar-17,11,8.93
3-Mar-17,1,8.754
3-Mar-17,2,8.741
3-Mar-17,3,8.675
3-Mar-17,4,8.67
3-Mar-17,5,8.597
3-Mar-17,6,8.638
3-Mar-17,7,8.934
3-Mar-17,8,8.972
3-Mar-17,9,8.951
3-Mar-17,10,8.956
3-Mar-17,11,8.971
4-Mar-17,1,8.858
4-Mar-17,2,8.841
4-Mar-17,3,8.895
4-Mar-17,4,8.878
4-Mar-17,5,8.82
4-Mar-17,6,8.663
4-Mar-17,7,8.679
4-Mar-17,8,8.72
4-Mar-17,9,8.72
4-Mar-17,10,8.628
4-Mar-17,11,8.554
5-Mar-17,1,8.444
5-Mar-17,2,8.414
5-Mar-17,3,8.452
5-Mar-17,4,8.534
5-Mar-17,5,8.477
5-Mar-17,6,8.412
5-Mar-17,7,8.377
5-Mar-17,8,8.393
5-Mar-17,9,8.436
5-Mar-17,10,8.428
5-Mar-17,11,8.457
6-Mar-17,1,8.612
6-Mar-17,2,8.651
6-Mar-17,3,8.619
6-Mar-17,4,8.615
6-Mar-17,5,8.615
6-Mar-17,6,8.615
6-Mar-17,7,8.653
6-Mar-17,8,8.661
6-Mar-17,9,8.687
6-Mar-17,10,8.687
6-Mar-17,11,8.788
7-Mar-17,1,8.805
7-Mar-17,2,8.779
7-Mar-17,3,8.727
7-Mar-17,4,8.762
7-Mar-17,5,8.779
7-Mar-17,6,8.779
7-Mar-17,7,8.811
7-Mar-17,8,8.796
7-Mar-17,9,8.622
7-Mar-17,10,8.499
7-Mar-17,11,8.436
8-Mar-17,1,8.451
8-Mar-17,2,8.451
8-Mar-17,3,8.41
8-Mar-17,4,8.519
8-Mar-17,5,8.594
8-Mar-17,6,8.611
8-Mar-17,7,8.587
8-Mar-17,8,8.645
8-Mar-17,9,8.786
8-Mar-17,10,8.768
8-Mar-17,11,8.705
9-Mar-17,1,8.705
9-Mar-17,2,8.651
9-Mar-17,3,9.005
9-Mar-17,4,9.005
9-Mar-17,5,8.925
9-Mar-17,6,8.954
9-Mar-17,7,8.965
9-Mar-17,8,8.984
9-Mar-17,9,8.992
9-Mar-17,10,9.035
9-Mar-17,11,9.032
10-Mar-17,1,9.013
10-Mar-17,2,9.014
10-Mar-17,3,9.034
10-Mar-17,4,9.087
10-Mar-17,5,9.121
10-Mar-17,6,9.104
10-Mar-17,7,9.111
10-Mar-17,8,9.129
10-Mar-17,9,9.072
10-Mar-17,10,9.008
10-Mar-17,11,9.04
11-Mar-17,1,9.059
11-Mar-17,2,9.096
11-Mar-17,3,9.053
11-Mar-17,4,9.098
11-Mar-17,5,9.112
11-Mar-17,6,9.116
11-Mar-17,7,9.098
11-Mar-17,8,9.069
11-Mar-17,9,9.077
11-Mar-17,10,9.052
11-Mar-17,11,8.988
12-Mar-17,1,8.98
12-Mar-17,2,8.954
12-Mar-17,3,8.959
12-Mar-17,4,8.957
12-Mar-17,5,8.936
12-Mar-17,6,8.964
12-Mar-17,7,8.984
12-Mar-17,8,8.957
12-Mar-17,9,8.963
12-Mar-17,10,9.012
12-Mar-17,11,9.026
13-Mar-17,1,9.062
13-Mar-17,2,9.067
13-Mar-17,3,8.998
13-Mar-17,4,8.985
13-Mar-17,5,9.003
13-Mar-17,6,8.978
13-Mar-17,7,8.887
13-Mar-17,8,8.81
13-Mar-17,9,8.796
13-Mar-17,10,8.795
13-Mar-17,11,8.803
14-Mar-17,1,8.821
14-Mar-17,2,8.839
14-Mar-17,3,8.839
14-Mar-17,4,8.824
14-Mar-17,5,8.765
14-Mar-17,6,8.857
14-Mar-17,7,8.857
14-Mar-17,8,8.831
14-Mar-17,9,8.773
